City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Okha,RU,53.5739,142.9478,39.0,92,57,13.62,broken clouds
185,Bintulu,MY,3.1667,113.0333,77.11,89,100,3.47,overcast clouds
186,Prainha,BR,-1.8,-53.48,76.44,94,100,5.01,overcast clouds
187,Nanortalik,GL,60.1432,-45.2371,40.86,79,100,12.73,overcast clouds
188,Victoria,HK,22.2855,114.1577,80.96,94,100,5.01,overcast clouds
189,Kalmunai,LK,7.4167,81.8167,78.42,85,80,7.78,broken clouds
190,Loreto,MX,22.2667,-101.9667,78.46,33,100,4.16,overcast clouds
191,Craigieburn,AU,-37.6,144.95,49.78,81,100,11.5,overcast clouds
192,Fortuna,US,40.5982,-124.1573,78.93,72,20,13.8,few clouds
193,Weligama,LK,5.9667,80.4167,78.51,87,39,10.89,scattered clouds
194,Rabo De Peixe,PT,37.8,-25.5833,67.51,88,40,8.05,scattered clouds
195,Namibe,AO,-15.1961,12.1522,71.35,70,0,1.92,clear sky
196,Vestmannaeyjar,IS,63.4427,-20.2734,51.76,83,98,5.32,overcast clouds
197,Yellowknife,CA,62.456,-114.3525,71.37,40,51,16.98,broken clouds
198,Souillac,MU,-20.5167,57.5167,70.77,83,36,12.24,light rain
199,Asau,RO,46.4333,26.4,61.72,86,61,5.19,broken clouds
200,Sitka,US,57.0531,-135.33,51.69,82,100,9.22,light rain
201,Zhaotong,CN,27.3167,103.7167,55.36,97,100,4.0,light rain
202,Kikwit,CD,-5.041,18.8162,71.98,42,31,2.84,scattered clouds
203,Nishihara,JP,26.1842,127.7558,79.88,94,75,19.57,moderate rain
204,Valparaiso,CL,-33.0393,-71.6273,60.44,72,3,6.91,clear sky
205,Portland,US,45.5234,-122.6762,68.05,86,100,3.44,light rain
206,Xining,CN,36.6167,101.7667,53.31,62,64,2.73,broken clouds
207,Olafsvik,IS,64.8945,-23.7142,45.7,83,100,22.06,overcast clouds
208,Puerto Ayora,EC,-0.7393,-90.3518,80.56,70,0,11.61,clear sky
209,Taywarah,AF,33.35,64.4167,56.82,21,0,5.53,clear sky
210,Cabedelo,BR,-6.9811,-34.8339,79.47,80,10,7.47,clear sky
211,Boca De Parita,PA,8.0167,-80.45,83.34,73,100,2.77,overcast clouds
212,Mingaora,PK,34.7758,72.3625,74.01,34,18,8.72,few clouds
213,Muskogee,US,35.5834,-95.3336,87.15,67,0,4.61,clear sky
214,Chapais,CA,49.7834,-74.8492,68.79,40,100,12.21,overcast clouds
215,Makat,KZ,47.6469,53.3463,71.98,38,4,5.37,clear sky
216,Villacidro,IT,39.4578,8.7406,71.47,67,0,4.29,clear sky
217,Chingola,ZM,-12.529,27.8838,53.1,68,0,5.46,clear sky
218,Pilar,BR,-9.5972,-35.9567,76.93,92,15,4.45,few clouds
219,Kyra,RU,49.5776,111.9753,51.3,84,100,6.58,light rain
220,Mount Gambier,AU,-37.8333,140.7667,50.77,66,100,9.04,overcast clouds
221,Gualdo Tadino,IT,43.2317,12.781,64.74,58,6,28.99,clear sky
222,Batemans Bay,AU,-35.7167,150.1833,48.09,87,3,4.29,clear sky
223,Anadyr,RU,64.75,177.4833,50.49,37,0,4.14,clear sky
224,Banjar,ID,-8.19,114.9675,76.64,89,71,3.15,broken clouds
